日期,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
7月19日,155.54,213.644,5.9,"599,328","1,643,328","-1,044,000","1,256,040","2,899,368"
7月20日,155.41,212.493,3.5,"605,704","1,645,704","-1,040,000","1,343,160","2,988,864"
7月21日,155.29,211.592,0.3,"613,168","1,650,168","-1,037,000","1,417,320","3,067,488"
7月22日,155.14,210.484,0,"546,804","1,653,804","-1,107,000","1,267,200","2,921,004"
7月23日,154.98,209.285,0,"400,524","1,654,524","-1,254,000","1,262,160","2,916,684"
7月24日,154.81,208.048,0,"407,432","1,656,432","-1,249,000","1,208,880","2,865,312"
7月25日,154.77,207.874,70.8,"3,660,580","1,526,580","2,134,000","2,050,560","3,577,140"
7月26日,155.07,210.026,24,"2,779,716","1,525,716","1,254,000","2,115,360","3,641,076"
7月27日,155.21,211.011,8.3,"1,967,448","1,523,448","444,000","2,310,840","3,834,288"
7月28日,155.25,211.326,4.8,"1,523,052","1,523,052",0,"2,519,640","4,042,692"
7月29日,155.22,211.101,0.1,"1,128,784","1,646,784","-518,000","1,786,320","3,433,104"
7月30日,155.13,210.423,0,"860,384","1,524,384","-664,000","1,506,960","3,031,344"
7月31日,155.03,209.647,0.6,"695,596","1,654,596","-959,000","1,378,800","3,033,396"
8月1日,154.89,208.658,0,"571,344","1,528,344","-957,000","1,304,640","2,832,984"
